iter	AUC	CrossEntropy	AUC
449	0.9622852403	0.5032606559	0.9622852403
450	0.9622606361	0.5030555752	0.9622606361
451	0.9623344487	0.502817979	0.9623344487
452	0.9623344487	0.5025706464	0.9623344487
453	0.9622992998	0.5023170964	0.9622992998
454	0.9623098445	0.5021122618	0.9623098445
455	0.9623133594	0.5019223977	0.9623133594
456	0.9623344487	0.5016730954	0.9623344487
457	0.9623590529	0.5012676865	0.9623590529
458	0.9623485083	0.5010209718	0.9623485083
459	0.9622606361	0.5007420478	0.9622606361
460	0.9622219723	0.5004765971	0.9622219723
461	0.9622606361	0.5001217222	0.9622606361
462	0.9623942018	0.4997812077	0.9623942018
463	0.9624188061	0.4995401864	0.9624188061
464	0.962453955	0.4991768788	0.962453955
465	0.9623239041	0.4989748216	0.9623239041
466	0.9623801423	0.4986497457	0.9623801423
467	0.9624012316	0.4983796883	0.9624012316
468	0.9624574698	0.4980925737	0.9624574698
469	0.9624047465	0.4978912585	0.9624047465
470	0.9624117763	0.4976551645	0.9624117763
471	0.9623695976	0.4975147032	0.9623695976
472	0.9624152912	0.4972298545	0.9624152912
473	0.9624680145	0.4969712621	0.9624680145
474	0.9624258358	0.4967712177	0.9624258358
475	0.9625101932	0.4964707224	0.9625101932
476	0.9625101932	0.4962213983	0.9625101932
477	0.9625699463	0.4959450184	0.9625699463
478	0.9626402441	0.4956424937	0.9626402441
479	0.9627667801	0.4952603347	0.9627667801
480	0.9627773247	0.4949980984	0.9627773247
481	0.9629460394	0.4947508055	0.9629460394
482	0.962928465	0.4945214728	0.962928465
483	0.962960099	0.494212313	0.962960099
484	0.9630303968	0.4938339	0.9630303968
485	0.963023367	0.4935569746	0.963023367
486	0.9629952479	0.4934031679	0.9629952479
487	0.962928465	0.4932042866	0.962928465
488	0.9629811883	0.4929323835	0.9629811883
489	0.9630655457	0.4926320054	0.9630655457
490	0.9631569328	0.4923731408	0.9631569328
491	0.9631709923	0.4920970539	0.9631709923
492	0.9631674774	0.4918442943	0.9631674774
493	0.9632272305	0.4914865598	0.9632272305
494	0.9632096561	0.4912073432	0.9632096561
495	0.963213171	0.4909705305	0.963213171
496	0.9632096561	0.4906908016	0.9632096561
497	0.9632026263	0.4905374191	0.9632026263
498	0.9631709923	0.4902071676	0.9631709923
499	0.9631393583	0.489970755	0.9631393583
